"Country","Region","Year","Age_min","Age_max","N_seropos","N_tot"
"Bangladesh","Bangladesh_merge",2015,1,2,0,38
"Bangladesh","Bangladesh_merge",2015,2,3,0,38
"Bangladesh","Bangladesh_merge",2015,3,4,0,44
"Bangladesh","Bangladesh_merge",2015,4,5,0,68
"Bangladesh","Bangladesh_merge",2015,5,6,0,71
"Bangladesh","Bangladesh_merge",2015,6,7,0,52
"Bangladesh","Bangladesh_merge",2015,7,8,4,73
"Bangladesh","Bangladesh_merge",2015,8,9,2,68
"Bangladesh","Bangladesh_merge",2015,9,10,0,76
"Bangladesh","Bangladesh_merge",2015,10,11,1,96
"Bangladesh","Bangladesh_merge",2015,11,12,2,80
"Bangladesh","Bangladesh_merge",2015,12,13,0,98
"Bangladesh","Bangladesh_merge",2015,13,14,2,94
"Bangladesh","Bangladesh_merge",2015,14,15,4,91
"Bangladesh","Bangladesh_merge",2015,15,16,3,103
"Bangladesh","Bangladesh_merge",2015,16,17,1,76
"Bangladesh","Bangladesh_merge",2015,17,18,0,60
"Bangladesh","Bangladesh_merge",2015,18,19,1,125
"Bangladesh","Bangladesh_merge",2015,19,20,2,80
"Bangladesh","Bangladesh_merge",2015,20,21,1,78
"Bangladesh","Bangladesh_merge",2015,21,22,1,47
"Bangladesh","Bangladesh_merge",2015,22,23,3,83
"Bangladesh","Bangladesh_merge",2015,23,24,1,47
"Bangladesh","Bangladesh_merge",2015,24,25,0,40
"Bangladesh","Bangladesh_merge",2015,25,26,1,86
"Bangladesh","Bangladesh_merge",2015,26,27,2,79
"Bangladesh","Bangladesh_merge",2015,27,28,0,52
"Bangladesh","Bangladesh_merge",2015,28,29,1,64
"Bangladesh","Bangladesh_merge",2015,29,30,1,34
"Bangladesh","Bangladesh_merge",2015,30,31,2,96
"Bangladesh","Bangladesh_merge",2015,31,32,0,28
"Bangladesh","Bangladesh_merge",2015,32,33,2,58
"Bangladesh","Bangladesh_merge",2015,33,34,0,39
"Bangladesh","Bangladesh_merge",2015,34,35,0,28
"Bangladesh","Bangladesh_merge",2015,35,36,2,106
"Bangladesh","Bangladesh_merge",2015,36,37,1,38
"Bangladesh","Bangladesh_merge",2015,37,38,0,30
"Bangladesh","Bangladesh_merge",2015,38,39,2,42
"Bangladesh","Bangladesh_merge",2015,39,40,0,36
"Bangladesh","Bangladesh_merge",2015,40,41,1,61
"Bangladesh","Bangladesh_merge",2015,41,42,0,41
"Bangladesh","Bangladesh_merge",2015,42,43,0,48
"Bangladesh","Bangladesh_merge",2015,43,44,0,26
"Bangladesh","Bangladesh_merge",2015,44,45,1,40
"Bangladesh","Bangladesh_merge",2015,45,46,4,86
"Bangladesh","Bangladesh_merge",2015,46,47,2,40
"Bangladesh","Bangladesh_merge",2015,47,48,1,25
"Bangladesh","Bangladesh_merge",2015,48,49,1,35
"Bangladesh","Bangladesh_merge",2015,49,50,0,27
"Bangladesh","Bangladesh_merge",2015,50,51,1,54
"Bangladesh","Bangladesh_merge",2015,51,52,1,49
"Bangladesh","Bangladesh_merge",2015,52,53,1,39
"Bangladesh","Bangladesh_merge",2015,53,54,1,17
"Bangladesh","Bangladesh_merge",2015,54,55,0,20
"Bangladesh","Bangladesh_merge",2015,55,56,4,59
"Bangladesh","Bangladesh_merge",2015,56,57,0,19
"Bangladesh","Bangladesh_merge",2015,57,58,1,16
"Bangladesh","Bangladesh_merge",2015,58,59,0,22
"Bangladesh","Bangladesh_merge",2015,59,60,0,8
"Bangladesh","Bangladesh_merge",2015,60,61,3,37
"Bangladesh","Bangladesh_merge",2015,61,62,0,24
"Bangladesh","Bangladesh_merge",2015,62,63,1,37
"Bangladesh","Bangladesh_merge",2015,63,64,0,9
"Bangladesh","Bangladesh_merge",2015,64,65,0,10
"Bangladesh","Bangladesh_merge",2015,65,66,2,45
"Bangladesh","Bangladesh_merge",2015,66,67,0,8
"Bangladesh","Bangladesh_merge",2015,67,68,0,11
"Bangladesh","Bangladesh_merge",2015,68,69,0,9
"Bangladesh","Bangladesh_merge",2015,69,70,0,3
"Bangladesh","Bangladesh_merge",2015,70,71,1,23
"Bangladesh","Bangladesh_merge",2015,71,72,0,7
"Bangladesh","Bangladesh_merge",2015,72,73,0,14
"Bangladesh","Bangladesh_merge",2015,73,74,0,1
"Bangladesh","Bangladesh_merge",2015,74,75,0,5
"Bangladesh","Bangladesh_merge",2015,75,76,0,19
"Bangladesh","Bangladesh_merge",2015,76,77,0,3
"Bangladesh","Bangladesh_merge",2015,77,78,0,1
"Bangladesh","Bangladesh_merge",2015,78,79,0,2
"Bangladesh","Bangladesh_merge",2015,79,80,0,2
"Bangladesh","Bangladesh_merge",2015,80,81,0,12
"Bangladesh","Bangladesh_merge",2015,82,83,0,2
"Bangladesh","Bangladesh_merge",2015,83,84,0,1
"Bangladesh","Bangladesh_merge",2015,85,86,0,1
"Bangladesh","Bangladesh_merge",2015,86,87,0,2
"Bangladesh","Bangladesh_merge",2015,87,88,0,1
"Bangladesh","Bangladesh_merge",2015,88,89,0,1
"Bangladesh","Bangladesh_merge",2015,89,90,0,12
