Country,Region,Year,Age_min,Age_max,N_seropos,N_tot
Comoros,Anjouan,2011,0,0,NA,NA
Comoros,Anjouan,2011,1,1,NA,NA
Comoros,Anjouan,2011,2,2,NA,NA
Comoros,Anjouan,2011,3,3,NA,NA
Comoros,Anjouan,2011,4,4,0,2
Comoros,Anjouan,2011,5,5,0,4
Comoros,Anjouan,2011,6,6,0,2
Comoros,Anjouan,2011,7,7,0,2
Comoros,Anjouan,2011,8,8,0,1
Comoros,Anjouan,2011,9,9,0,1
Comoros,Anjouan,2011,10,10,0,4
Comoros,Anjouan,2011,11,11,NA,NA
Comoros,Anjouan,2011,12,12,0,2
Comoros,Anjouan,2011,13,13,0,3
Comoros,Anjouan,2011,14,14,0,1
Comoros,Anjouan,2011,15,15,0,2
Comoros,Anjouan,2011,16,16,NA,NA
Comoros,Anjouan,2011,17,17,0,1
Comoros,Anjouan,2011,18,18,0,4
Comoros,Anjouan,2011,19,19,0,1
Comoros,Anjouan,2011,20,20,0,7
Comoros,Anjouan,2011,21,21,0,5
Comoros,Anjouan,2011,22,22,0,5
Comoros,Anjouan,2011,23,23,0,3
Comoros,Anjouan,2011,24,24,0,2
Comoros,Anjouan,2011,25,25,0,1
Comoros,Anjouan,2011,26,26,0,2
Comoros,Anjouan,2011,27,27,0,2
Comoros,Anjouan,2011,28,28,0,1
Comoros,Anjouan,2011,29,29,0,1
Comoros,Anjouan,2011,30,30,0,2
Comoros,Anjouan,2011,31,31,0,1
Comoros,Anjouan,2011,32,32,NA,NA
Comoros,Anjouan,2011,33,33,1,2
Comoros,Anjouan,2011,34,34,NA,NA
Comoros,Anjouan,2011,35,35,NA,NA
Comoros,Anjouan,2011,36,36,0,2
Comoros,Anjouan,2011,37,37,0,1
Comoros,Anjouan,2011,38,38,0,1
Comoros,Anjouan,2011,39,39,NA,NA
Comoros,Anjouan,2011,40,40,0,5
Comoros,Anjouan,2011,41,41,0,2
Comoros,Anjouan,2011,42,42,0,1
Comoros,Anjouan,2011,43,43,0,1
Comoros,Anjouan,2011,44,44,NA,NA
Comoros,Anjouan,2011,45,45,NA,NA
Comoros,Anjouan,2011,46,46,0,1
Comoros,Anjouan,2011,47,47,NA,NA
Comoros,Anjouan,2011,48,48,0,1
Comoros,Anjouan,2011,49,49,NA,NA
Comoros,Anjouan,2011,50,50,1,3
Comoros,Anjouan,2011,51,51,NA,NA
Comoros,Anjouan,2011,52,52,NA,NA
Comoros,Anjouan,2011,53,53,NA,NA
Comoros,Anjouan,2011,54,54,0,1
Comoros,Anjouan,2011,55,55,0,2
Comoros,Anjouan,2011,56,56,NA,NA
Comoros,Anjouan,2011,57,57,NA,NA
Comoros,Anjouan,2011,58,58,0,1
Comoros,Anjouan,2011,59,59,NA,NA
Comoros,Anjouan,2011,60,60,NA,NA
Comoros,Anjouan,2011,61,61,NA,NA
Comoros,Anjouan,2011,62,62,NA,NA
Comoros,Anjouan,2011,63,63,NA,NA
Comoros,Anjouan,2011,64,64,NA,NA
Comoros,Anjouan,2011,65,65,NA,NA
Comoros,Anjouan,2011,66,66,NA,NA
Comoros,Anjouan,2011,67,67,NA,NA
Comoros,Anjouan,2011,68,68,NA,NA
Comoros,Anjouan,2011,69,69,NA,NA
Comoros,Anjouan,2011,70,70,0,1
Comoros,Anjouan,2011,71,71,NA,NA
Comoros,Anjouan,2011,72,72,NA,NA
Comoros,Anjouan,2011,73,73,NA,NA
Comoros,Anjouan,2011,74,74,NA,NA
Comoros,Anjouan,2011,75,75,0,1
Comoros,Anjouan,2011,76,76,NA,NA
Comoros,Anjouan,2011,77,77,NA,NA
Comoros,Anjouan,2011,78,78,NA,NA
Comoros,Anjouan,2011,79,79,NA,NA
Comoros,Anjouan,2011,80,80,NA,NA
Comoros,Anjouan,2011,81,81,NA,NA
Comoros,Anjouan,2011,82,82,NA,NA
Comoros,Anjouan,2011,83,83,NA,NA
Comoros,Anjouan,2011,84,84,NA,NA
Comoros,Gde Comore,2011,0,0,0,1
Comoros,Gde Comore,2011,1,1,0,2
Comoros,Gde Comore,2011,2,2,0,1
Comoros,Gde Comore,2011,3,3,0,6
Comoros,Gde Comore,2011,4,4,0,3
Comoros,Gde Comore,2011,5,5,1,4
Comoros,Gde Comore,2011,6,6,0,3
Comoros,Gde Comore,2011,7,7,2,5
Comoros,Gde Comore,2011,8,8,NA,NA
Comoros,Gde Comore,2011,9,9,0,2
Comoros,Gde Comore,2011,10,10,NA,NA
Comoros,Gde Comore,2011,11,11,2,2
Comoros,Gde Comore,2011,12,12,3,8
Comoros,Gde Comore,2011,13,13,0,2
Comoros,Gde Comore,2011,14,14,0,2
Comoros,Gde Comore,2011,15,15,1,2
Comoros,Gde Comore,2011,16,16,0,2
Comoros,Gde Comore,2011,17,17,1,1
Comoros,Gde Comore,2011,18,18,NA,NA
Comoros,Gde Comore,2011,19,19,2,4
Comoros,Gde Comore,2011,20,20,3,6
Comoros,Gde Comore,2011,21,21,0,2
Comoros,Gde Comore,2011,22,22,0,4
Comoros,Gde Comore,2011,23,23,0,3
Comoros,Gde Comore,2011,24,24,3,5
Comoros,Gde Comore,2011,25,25,0,1
Comoros,Gde Comore,2011,26,26,0,4
Comoros,Gde Comore,2011,27,27,1,3
Comoros,Gde Comore,2011,28,28,0,5
Comoros,Gde Comore,2011,29,29,3,5
Comoros,Gde Comore,2011,30,30,2,5
Comoros,Gde Comore,2011,31,31,1,1
Comoros,Gde Comore,2011,32,32,1,3
Comoros,Gde Comore,2011,33,33,2,4
Comoros,Gde Comore,2011,34,34,1,7
Comoros,Gde Comore,2011,35,35,2,7
Comoros,Gde Comore,2011,36,36,0,1
Comoros,Gde Comore,2011,37,37,0,4
Comoros,Gde Comore,2011,38,38,1,3
Comoros,Gde Comore,2011,39,39,1,2
Comoros,Gde Comore,2011,40,40,2,10
Comoros,Gde Comore,2011,41,41,2,4
Comoros,Gde Comore,2011,42,42,1,1
Comoros,Gde Comore,2011,43,43,0,3
Comoros,Gde Comore,2011,44,44,0,1
Comoros,Gde Comore,2011,45,45,0,1
Comoros,Gde Comore,2011,46,46,0,4
Comoros,Gde Comore,2011,47,47,NA,NA
Comoros,Gde Comore,2011,48,48,NA,NA
Comoros,Gde Comore,2011,49,49,NA,NA
Comoros,Gde Comore,2011,50,50,1,3
Comoros,Gde Comore,2011,51,51,0,2
Comoros,Gde Comore,2011,52,52,0,1
Comoros,Gde Comore,2011,53,53,NA,NA
Comoros,Gde Comore,2011,54,54,2,3
Comoros,Gde Comore,2011,55,55,0,2
Comoros,Gde Comore,2011,56,56,1,4
