"Country","Region","Year","Age_min","Age_max","N_seropos","N_tot"
"Rwanda","Rwanda_merge",2019,0,0,0,0
"Rwanda","Rwanda_merge",2019,1,1,0,0
"Rwanda","Rwanda_merge",2019,2,2,0,0
"Rwanda","Rwanda_merge",2019,3,3,0,0
"Rwanda","Rwanda_merge",2019,4,4,0,0
"Rwanda","Rwanda_merge",2019,5,5,0,0
"Rwanda","Rwanda_merge",2019,6,6,0,0
"Rwanda","Rwanda_merge",2019,7,7,0,0
"Rwanda","Rwanda_merge",2019,8,8,0,0
"Rwanda","Rwanda_merge",2019,9,9,0,0
"Rwanda","Rwanda_merge",2019,10,10,0,0
"Rwanda","Rwanda_merge",2019,11,11,0,0
"Rwanda","Rwanda_merge",2019,12,12,0,0
"Rwanda","Rwanda_merge",2019,13,13,0,0
"Rwanda","Rwanda_merge",2019,14,14,0,0
"Rwanda","Rwanda_merge",2019,15,15,0,0
"Rwanda","Rwanda_merge",2019,16,16,0,0
"Rwanda","Rwanda_merge",2019,17,17,0,2
"Rwanda","Rwanda_merge",2019,18,18,32,92
"Rwanda","Rwanda_merge",2019,19,19,42,84
"Rwanda","Rwanda_merge",2019,20,20,34,69
"Rwanda","Rwanda_merge",2019,21,21,23,62
"Rwanda","Rwanda_merge",2019,22,22,30,49
"Rwanda","Rwanda_merge",2019,23,23,29,42
"Rwanda","Rwanda_merge",2019,24,24,27,39
"Rwanda","Rwanda_merge",2019,25,25,28,40
"Rwanda","Rwanda_merge",2019,26,26,16,25
"Rwanda","Rwanda_merge",2019,27,27,26,32
"Rwanda","Rwanda_merge",2019,28,28,11,23
"Rwanda","Rwanda_merge",2019,29,29,15,20
"Rwanda","Rwanda_merge",2019,30,30,13,18
"Rwanda","Rwanda_merge",2019,31,31,17,20
"Rwanda","Rwanda_merge",2019,32,32,13,17
"Rwanda","Rwanda_merge",2019,33,33,20,22
"Rwanda","Rwanda_merge",2019,34,34,17,26
"Rwanda","Rwanda_merge",2019,35,35,18,22
"Rwanda","Rwanda_merge",2019,36,36,10,15
"Rwanda","Rwanda_merge",2019,37,37,10,15
"Rwanda","Rwanda_merge",2019,38,38,11,13
"Rwanda","Rwanda_merge",2019,39,39,10,11
"Rwanda","Rwanda_merge",2019,40,40,12,13
"Rwanda","Rwanda_merge",2019,41,41,16,19
"Rwanda","Rwanda_merge",2019,42,42,9,10
"Rwanda","Rwanda_merge",2019,43,43,7,10
"Rwanda","Rwanda_merge",2019,44,44,9,10
"Rwanda","Rwanda_merge",2019,45,45,7,9
"Rwanda","Rwanda_merge",2019,46,46,4,4
"Rwanda","Rwanda_merge",2019,47,47,9,10
"Rwanda","Rwanda_merge",2019,48,48,6,6
"Rwanda","Rwanda_merge",2019,49,49,3,3
"Rwanda","Rwanda_merge",2019,50,50,4,5
"Rwanda","Rwanda_merge",2019,51,51,2,3
"Rwanda","Rwanda_merge",2019,52,52,1,1
"Rwanda","Rwanda_merge",2019,53,53,3,5
"Rwanda","Rwanda_merge",2019,54,54,0,0
"Rwanda","Rwanda_merge",2019,55,55,3,3
"Rwanda","Rwanda_merge",2019,56,56,2,2
"Rwanda","Rwanda_merge",2019,57,57,0,0
"Rwanda","Rwanda_merge",2019,58,58,0,1
"Rwanda","Rwanda_merge",2019,59,59,1,1
"Rwanda","Rwanda_merge",2019,60,60,0,0
"Rwanda","Rwanda_merge",2019,61,61,1,1
