Country,Region,Year,Age_min,Age_max,N_seropos,N_tot
Tanzania,Buhigwe,2018,0,5,3,18
Tanzania,Buhigwe,2018,6,10,4,12
Tanzania,Buhigwe,2018,11,15,4,13
Tanzania,Buhigwe,2018,16,20,8,22
Tanzania,Buhigwe,2018,21,25,13,29
Tanzania,Buhigwe,2018,26,30,11,22
Tanzania,Buhigwe,2018,31,35,13,22
Tanzania,Buhigwe,2018,36,40,18,29
Tanzania,Buhigwe,2018,41,45,10,22
Tanzania,Buhigwe,2018,46,50,9,18
Tanzania,Buhigwe,2018,51,80,23,48
Tanzania,Kalambo,2018,0,5,1,9
Tanzania,Kalambo,2018,6,10,0,0
Tanzania,Kalambo,2018,11,15,1,6
Tanzania,Kalambo,2018,16,20,6,20
Tanzania,Kalambo,2018,21,25,11,25
Tanzania,Kalambo,2018,26,30,2,27
Tanzania,Kalambo,2018,31,35,6,20
Tanzania,Kalambo,2018,36,40,4,25
Tanzania,Kalambo,2018,41,45,3,15
Tanzania,Kalambo,2018,46,50,4,12
Tanzania,Kalambo,2018,51,80,18,52
Tanzania,Kilindi,2018,0,5,0,11
Tanzania,Kilindi,2018,6,10,0,2
Tanzania,Kilindi,2018,11,15,1,3
Tanzania,Kilindi,2018,16,20,1,15
Tanzania,Kilindi,2018,21,25,7,37
Tanzania,Kilindi,2018,26,30,2,33
Tanzania,Kilindi,2018,31,35,2,27
Tanzania,Kilindi,2018,36,40,6,33
Tanzania,Kilindi,2018,41,45,2,11
Tanzania,Kilindi,2018,46,50,1,11
Tanzania,Kilindi,2018,51,80,16,40
Tanzania,Kinondoni,2018,0,5,2,4
Tanzania,Kinondoni,2018,6,10,0,2
Tanzania,Kinondoni,2018,11,15,0,8
Tanzania,Kinondoni,2018,16,20,0,16
Tanzania,Kinondoni,2018,21,25,6,35
Tanzania,Kinondoni,2018,26,30,13,43
Tanzania,Kinondoni,2018,31,35,9,29
Tanzania,Kinondoni,2018,36,40,11,27
Tanzania,Kinondoni,2018,41,45,4,26
Tanzania,Kinondoni,2018,46,50,3,15
Tanzania,Kinondoni,2018,51,80,23,37
Tanzania,Kondoa,2018,0,5,1,10
Tanzania,Kondoa,2018,6,10,0,6
Tanzania,Kondoa,2018,11,15,0,12
Tanzania,Kondoa,2018,16,20,1,16
Tanzania,Kondoa,2018,21,25,1,11
Tanzania,Kondoa,2018,26,30,2,16
Tanzania,Kondoa,2018,31,35,1,18
Tanzania,Kondoa,2018,36,40,0,22
Tanzania,Kondoa,2018,41,45,0,15
Tanzania,Kondoa,2018,46,50,0,11
Tanzania,Kondoa,2018,51,80,3,65
Tanzania,Kyela,2018,0,5,1,12
Tanzania,Kyela,2018,6,10,5,13
Tanzania,Kyela,2018,11,15,2,9
Tanzania,Kyela,2018,16,20,3,21
Tanzania,Kyela,2018,21,25,8,27
Tanzania,Kyela,2018,26,30,9,33
Tanzania,Kyela,2018,31,35,7,21
Tanzania,Kyela,2018,36,40,7,36
Tanzania,Kyela,2018,41,45,7,23
Tanzania,Kyela,2018,46,50,11,19
Tanzania,Kyela,2018,51,80,15,49
Tanzania,Mvomero,2018,0,5,1,18
Tanzania,Mvomero,2018,6,10,0,10
Tanzania,Mvomero,2018,11,15,0,15
Tanzania,Mvomero,2018,16,20,4,11
Tanzania,Mvomero,2018,21,25,4,20
Tanzania,Mvomero,2018,26,30,8,16
Tanzania,Mvomero,2018,31,35,5,25
Tanzania,Mvomero,2018,36,40,8,22
Tanzania,Mvomero,2018,41,45,4,14
Tanzania,Mvomero,2018,46,50,1,8
Tanzania,Mvomero,2018,51,80,18,35
Tanzania,Ukerewe,2018,0,5,0,7
Tanzania,Ukerewe,2018,6,10,1,6
Tanzania,Ukerewe,2018,11,15,2,10
Tanzania,Ukerewe,2018,16,20,2,13
Tanzania,Ukerewe,2018,21,25,13,29
Tanzania,Ukerewe,2018,26,30,9,29
Tanzania,Ukerewe,2018,31,35,11,23
Tanzania,Ukerewe,2018,36,40,16,27
Tanzania,Ukerewe,2018,41,45,14,20
Tanzania,Ukerewe,2018,46,50,3,12
Tanzania,Ukerewe,2018,51,80,27,50
