"Country","Region","Year","Age_min","Age_max","N_seropos","N_tot"
"Zambia","merge",2019,0,1,NA,NA
"Zambia","merge",2019,1,2,NA,NA
"Zambia","merge",2019,2,3,NA,NA
"Zambia","merge",2019,3,4,NA,NA
"Zambia","merge",2019,4,5,NA,NA
"Zambia","merge",2019,5,6,NA,NA
"Zambia","merge",2019,6,7,NA,NA
"Zambia","merge",2019,7,8,NA,NA
"Zambia","merge",2019,8,9,NA,NA
"Zambia","merge",2019,9,10,NA,NA
"Zambia","merge",2019,10,11,NA,NA
"Zambia","merge",2019,11,12,NA,NA
"Zambia","merge",2019,12,13,NA,NA
"Zambia","merge",2019,13,14,NA,NA
"Zambia","merge",2019,14,15,NA,NA
"Zambia","merge",2019,15,16,0,1
"Zambia","merge",2019,16,17,0,1
"Zambia","merge",2019,17,18,0,3
"Zambia","merge",2019,18,19,2,6
"Zambia","merge",2019,19,20,2,5
"Zambia","merge",2019,20,21,4,7
"Zambia","merge",2019,21,22,1,7
"Zambia","merge",2019,22,23,2,7
"Zambia","merge",2019,23,24,0,1
"Zambia","merge",2019,24,25,1,5
"Zambia","merge",2019,25,26,1,7
"Zambia","merge",2019,26,27,2,5
"Zambia","merge",2019,27,28,3,5
"Zambia","merge",2019,28,29,NA,NA
"Zambia","merge",2019,29,30,3,3
"Zambia","merge",2019,30,31,2,6
"Zambia","merge",2019,31,32,1,5
"Zambia","merge",2019,32,33,1,8
"Zambia","merge",2019,33,34,0,3
"Zambia","merge",2019,34,35,2,5
"Zambia","merge",2019,35,36,4,6
"Zambia","merge",2019,36,37,3,6
"Zambia","merge",2019,37,38,3,4
"Zambia","merge",2019,38,39,2,8
"Zambia","merge",2019,39,40,3,5
"Zambia","merge",2019,40,41,2,5
"Zambia","merge",2019,41,42,0,1
"Zambia","merge",2019,42,43,4,14
"Zambia","merge",2019,43,44,1,9
"Zambia","merge",2019,44,45,2,7
"Zambia","merge",2019,45,46,5,7
"Zambia","merge",2019,46,47,3,4
"Zambia","merge",2019,47,48,0,1
"Zambia","merge",2019,48,49,2,5
"Zambia","merge",2019,49,50,NA,NA
"Zambia","merge",2019,50,51,1,3
"Zambia","merge",2019,51,52,1,1
"Zambia","merge",2019,52,53,5,8
"Zambia","merge",2019,53,54,1,3
"Zambia","merge",2019,54,55,0,1
"Zambia","merge",2019,55,56,1,3
"Zambia","merge",2019,56,57,0,2
"Zambia","merge",2019,57,58,NA,NA
"Zambia","merge",2019,58,59,2,3
"Zambia","merge",2019,59,60,0,2
"Zambia","merge",2019,60,61,2,5
"Zambia","merge",2019,61,62,NA,NA
"Zambia","merge",2019,62,63,1,1
"Zambia","merge",2019,63,64,NA,NA
"Zambia","merge",2019,64,65,1,1
"Zambia","merge",2019,65,66,0,2
"Zambia","merge",2019,66,67,NA,NA
"Zambia","merge",2019,67,68,1,1
"Zambia","merge",2019,68,69,NA,NA
"Zambia","merge",2019,69,70,0,2
"Zambia","merge",2019,70,71,NA,NA
"Zambia","merge",2019,71,72,NA,NA
"Zambia","merge",2019,72,73,NA,NA
"Zambia","merge",2019,73,74,NA,NA
"Zambia","merge",2019,74,75,1,2
"Zambia","merge",2019,75,76,NA,NA
"Zambia","merge",2019,76,77,NA,NA
"Zambia","merge",2019,77,78,NA,NA
"Zambia","merge",2019,78,79,NA,NA
"Zambia","merge",2019,79,80,NA,NA
"Zambia","merge",2019,80,81,NA,NA
"Zambia","merge",2019,81,82,0,1
