"country","who_region","status","evidence","EverCases","recently_reported","s0","prop_eff_pop","life_expectancy","pop_size","haq_index","Pop_y1","Pop_y2","Pop_y3","Pop_y4","Pop_y5","Pop_y6","Pop_y7","Pop_y8","Pop_y9","Pop_y10","Pop_y11","Pop_y12","Pop_y13","Pop_y14","Pop_y15","Pop_y16","Pop_y17","Pop_y18","Pop_y19","Pop_y20","Pop_y21","Pop_y22","Pop_y23","Pop_y24","Pop_y25","Pop_y26","Pop_y27","Pop_y28","Pop_y29","Pop_y30","Pop_y31","Pop_y32","Pop_y33","Pop_y34","Pop_y35","Pop_y36","Pop_y37","Pop_y38","Pop_y39","Pop_y40","Pop_y41","Pop_y42","Pop_y43","Pop_y44","Pop_y45","Pop_y46","Pop_y47","Pop_y48","Pop_y49","Pop_y50","Pop_y51","Pop_y52","Pop_y53","Pop_y54","Pop_y55","Pop_y56","Pop_y57","Pop_y58","Pop_y59","Pop_y60","Pop_y61","Pop_y62","Pop_y63","Pop_y64","Pop_y65","Pop_y66","Pop_y67","Pop_y68","Pop_y69","Pop_y70","Pop_y71","Pop_y72","Pop_y73","Pop_y74","Pop_y75","Pop_y76","Pop_y77","Pop_y78","Pop_y79","Pop_y80","Pop_y81","Pop_y82","Pop_y83","Pop_y84","Pop_y85","Pop_y86","Pop_y87","Pop_y88","Pop_y89","Pop_y90","Pop_y91","Pop_y92","Pop_y93","Pop_y94","Pop_y95","Pop_y96","Pop_y97","Pop_y98","Pop_y99","Pop_y100+","Births_15","Births_16","Births_17","Births_18","Births_19","Births_20","Births_21","Births_22","Births_23","Births_24","Births_25","Births_26","Births_27","Births_28","Births_29","Births_30","Births_31","Births_32","Births_33","Births_34","Births_35","Births_36","Births_37","Births_38","Births_39","Births_40","Births_41","Births_42","Births_43","Births_44","Births_45","Births_46","Births_47","Births_48","Births_49"
"Afghanistan","EasternMed","NoTransmission","Good",FALSE,FALSE,0.974898785425101,0.432529177019415,62.575,37633559,25.9,1299717,1269522.5,1242427.5,1224758,1199227.5,1165041.5,1134683.5,1091837.5,1056260.5,1035453.5,1005720.5,1007140,1015315.5,987144,960859.5,941948,920063,894527,866625.5,838518.5,809886,780890,753073,724384,694106,662100.5,628664,595399,562673,531736.5,503231.5,476290.5,450864.5,426058,402180,382684.5,367505,354671.5,343195,332105,320675.5,309216.5,297770,286106.5,274860,263337,251463,240012.5,228653,217621.5,206969.5,196296,185893.5,175743,166162,157090,148340.5,140079,132279.5,124795.5,117632.5,110710.5,103973.5,97450,91036.5,84890.5,78943.5,72997,66680.5,62883,60343,56642,52434.5,47312,42015.5,36935.5,32236.5,27957.5,24087,20623,17565.5,14776,12132.5,9719.5,7681,5995,4589,3446,2531.5,1816.5,1272,869.5,577.5,372.5,234,143,85,51.5,33.5,32,0.011834,0.0234515,0.0399045,0.060245,0.079778,0.096974,0.1102905,0.1194795,0.125598,0.1288765,0.1292975,0.127057,0.123028,0.117558,0.111299,0.1045185,0.097742,0.091182,0.085244,0.079856,0.0743005,0.0684095,0.062166,0.055594,0.0488195,0.0419125,0.035056,0.0284495,0.0227915,0.018199,0.0144855,0.011564,0.009239,0.007288,0.0049315
"Albania","Europe","NoTransmission","Poor",FALSE,FALSE,1,0.648668562712836,76.989,2838434,75.4,28033,28845.5,29573.5,30279,32295.5,33006.5,32718,31812.5,32349,31913.5,32640,32646,32699,34988,37209,37724,39807,38223.5,40474.5,43634.5,43088.5,43291,45709.5,47203.5,48994,48507.5,46883,46500,45990,44991,42217,39812.5,38940.5,37347.5,37206.5,36593,34105,33844.5,32539,31675,31636.5,31953,32519,32992.5,33087,33641,33567.5,34840.5,35472,36892,37957,39077,38331,37198,38646,41039,41555.5,40854,39837.5,40616,39085,37429,35441.5,34860.5,34263,31773.5,28834,27095.5,26746,26885,25225.5,23303.5,21288.5,19942.5,18735,18161.5,18173.5,17875,16783.5,15512,13966,12264,10548,8884.5,7400,6124.5,5048,4149.5,3382.5,2750.5,2206,1741,1345.5,1006,728,511,347.5,225.5,147.5,223,0.00124,0.0030025,0.0060655,0.01037,0.0152535,0.020457,0.025649,0.030661,0.0352565,0.0392925,0.0423845,0.0444625,0.0455985,0.0457855,0.0449185,0.043002,0.0401675,0.036618,0.0331115,0.029711,0.02593,0.02178,0.017801,0.0140875,0.0105165,0.0071615,0.004466,0.002514,0.00123,0.000543,0.0002155,0.0001475,0.0001415,0.0001425,0.0001065
"Algeria","Africa","NoTransmission","Good",FALSE,FALSE,0.705553164012053,0.578396499708773,74.453,42484101.5,63.1,980968.5,990431,991712,983722,967790.5,944621,924912.5,898751.5,864301.5,833940,799982.5,761479.5,721582,684909,652554,622507.5,594780,576553.5,568407,562206,559078,581731.5,613678,633836.5,656922,676065,689083.5,698839,706546,715698.5,724722,731589,736243.5,737877,735143.5,727837.5,717104.5,702433.5,683915.5,661158.5,635520,609463,585090.5,565023,546905,529253,513215.5,497662,482144.5,466657,451142,435465,419398.5,402679,385165.5,366822,348080.5,329983.5,313461,298789,285710.5,273725,262101,250340.5,238412.5,226342,213785,200217.5,185471,168784,150441,133270.5,118838.5,107128.5,98105.5,91386,86045.5,80862,75161,68891,62206.5,55343.5,48539.5,41933.5,35655.5,29831,24515,19708.5,15424,11706,8595.5,6108.5,4218,2836.5,1863,1197.5,753.5,464.5,281,368.5,0.0003285,0.001848,0.0046725,0.0090305,0.0154915,0.0240175,0.034339,0.0458325,0.0562845,0.065092,0.07182,0.076487,0.0796075,0.0813125,0.081661,0.080774,0.0791225,0.0769105,0.0745635,0.071998,0.0684245,0.0637865,0.058622,0.053022,0.046851,0.0401155,0.0329825,0.025662,0.018912,0.0129945,0.008298,0.004885,0.0026405,0.001417,0.000685
"Angola","Africa","Epidemic","Good",TRUE,TRUE,0.705553164012053,0.813054312308697,62.261,32180167.5,33.4,1200814.5,1164596,1131881,1101426,1072667,1043188,1012376.5,979928.5,947415.5,915483,882145.5,848281.5,814893.5,781896,748817.5,716194.5,685736.5,657381,630427,605859,584301,566038,550543.5,535626,521262.5,507739,494700,482920,470949.5,457836,444357,430215,415794.5,400974,385306.5,368902,352647,337329.5,322539.5,308169,294458,281284.5,268796.5,256825,245211,234005.5,223166.5,213398.5,205486,198554,191499,184342.5,177208.5,170072,162867.5,155633.5,148304.5,140807,132981.5,125085,117443,109887.5,102414,95089.5,87955.5,81023.5,74358,67979,62177.5,55527.5,50206.5,47297.5,43866.5,39929,36051.5,32405.5,29041,25912,22969,20194,17598.5,15083,12596.5,10269.5,8227,6480.5,5006,3798.5,2830,2068.5,1488.5,1055.5,736.5,508.5,349.5,241,168.5,121,90.5,178.5,0.0307235,0.053275,0.0750825,0.093615,0.104824,0.108892,0.111128,0.112717,0.114274,0.1158585,0.11714,0.117961,0.117955,0.1170355,0.1151765,0.1124495,0.1091935,0.10549,0.1013565,0.0967535,0.091491,0.085537,0.078939,0.071716,0.063902,0.0555175,0.0466155,0.037465,0.0291995,0.022137,0.0165375,0.0123475,0.009063,0.0064485,0.003966
"Argentina","Americas","Epidemic","Good",TRUE,TRUE,0.664443621094232,0.750387569216378,75.892,44392753,68.1,661126,686541,715894,733519.5,740528.5,738686,735416.5,730994,725909.5,718870.5,709793,705060.5,704757,703528,698505.5,692431.5,692059,693831,696764,700765.5,698627.5,695130.5,698293.5,705531,711584.5,710765,704113,697228.5,690483,679748.5,669089.5,662086,655112,648664,643488,639824.5,637641.5,637072,636861,635192.5,630529,621828,609138.5,592898.5,575688,556791,535936,516938,499239,482424,468003.5,457588.5,450055,443027.5,436967.5,431610,425102.5,414642.5,404029,396876,390211.5,385672.5,378200.5,366260,355489.5,344947,333747.5,321636,308945,295360,283545.5,272717,258938.5,243535.5,227650.5,211561.5,195985,180977.5,166596.5,152906.5,139914.5,127824,116617.5,105921,95427,85232.5,75700,66871.5,58650.5,50930.5,43725,36869.5,30296.5,24293,19108.5,14723,11040.5,8044.5,5682.5,10169,0.006155,0.0121925,0.019606,0.027662,0.034025,0.038245,0.041202,0.0431085,0.044434,0.0453115,0.045865,0.0461905,0.0465875,0.0470095,0.0469475,0.046284,0.045008,0.0432135,0.041322,0.0392815,0.0364425,0.0327845,0.028867,0.0247825,0.020382,0.0157835,0.0116565,0.0081765,0.005443,0.003457,0.0021175,0.0013345,0.0008125,0.0004655,0.000204
"Armenia","Europe","NoTransmission","Good",FALSE,FALSE,1,0.275913217630815,72.173,2770170,70.7,36718.5,37745,39407,40782,42562.5,42993.5,41752,40133,38255.5,38430,37022,34403,32323,32788.5,34110.5,32956,31657,30849,30827,31746.5,33024.5,34399,35861.5,37251.5,39653,43332.5,49076.5,53449,54995.5,54176,51729.5,50878,49638.5,49089.5,48789,45655,41343.5,38577.5,37906,36064,33574,31494,30398.5,30462.5,29123,28420.5,29128,28817.5,29249.5,30075.5,29654.5,29431.5,30186,32275.5,34768,37265,39402.5,41286.5,42803,42743.5,41249.5,38797.5,35786,33310,31084.5,28742.5,26927,25341,23184.5,20542,18257,16712,14688.5,11197,7603.5,6042,7179,9836,11959.5,12577.5,12309,11543,10095.5,8194.5,6344,5183,4625.5,4033.5,3400,2845,2304.5,1771.5,1292.5,897.5,594.5,363,199.5,106.5,61,80,7.3e-05,0.000238,0.0052195,0.014927,0.0271975,0.0414405,0.0515005,0.057217,0.0597175,0.0594265,0.057078,0.053121,0.0487995,0.0444265,0.040137,0.03597,0.031957,0.0281635,0.0248435,0.021964,0.019128,0.0162715,0.0135115,0.0108745,0.008355,0.0060065,0.0040665,0.0025775,0.001486,0.0007615,0.000316,0.0001125,6.55e-05,0.000126,0.0001575
"Australia","WesternPacific","NoTransmission","Good",FALSE,FALSE,0.886407025582283,0.639922153147931,83.2,25367205.5,95.9,307835,308326,315037,322623.5,323484.5,323226.5,324965,324302.5,323246,322525.5,320711,319016,315037,306490.5,297996.5,293888.5,293480.5,297091.5,308114,323785.5,335064.5,341896.5,351490.5,367598,382306,386336.5,385172,386475,390705,392463,389356,385569.5,383384,381999,379562.5,376188,370840,361806.5,350553,338491,328230,321813,319281.5,319658,322565.5,328185.5,335576,343203,342306.5,330893,319898.5,310980.5,304015,301704.5,303958.5,309585,312582,311131.5,306571,298555,290416.5,283620,277014,269851,261382,254186.5,248635.5,242968,237782.5,231593,225674,224491,217038.5,196295,178417.5,165451.5,152230,142213,132719.5,123023.5,114011,105173,96690,87586,78287,70182.5,63014.5,56682,50985.5,44376,38062.5,31921,25637,20349.5,15547,11425,8270,5716.5,3797.5,5357,0.000672,0.0011895,0.002999,0.0055845,0.0095145,0.012132,0.0155985,0.018963,0.0220215,0.0257425,0.02972,0.0340375,0.039861,0.045484,0.050153,0.0539235,0.0582415,0.057689,0.0555805,0.0508105,0.0468255,0.0398545,0.0322775,0.0262665,0.0206595,0.015217,0.0103845,0.0068375,0.003907,0.002262,0.001073,0.000601,0.0003865,0.0001715,0.0003435
"Austria","Europe","NoTransmission","Good",FALSE,FALSE,1,0.145929193084137,81.1926829268293,8824352,93.9,85143.5,87933,89449.5,88494,86886.5,85544,84704.5,84555,84737.5,84225.5,83947,84142,84406.5,85413,86237.5,86162.5,86612.5,87199.5,89447.5,93428.5,97127.5,102010.5,107251,110547,113199.5,117260.5,120363.5,122718.5,123466,122943.5,122881.5,122083.5,121026.5,120980.5,121292.5,121436.5,122789,123902.5,121943,117081,112837.5,111540.5,111516,113927,117226.5,118350,121601,126897.5,130381,135795,141481.5,142911,142496.5,142615,143047,142498,139798.5,135724.5,130569,124974,119253.5,114608.5,111576.5,105964.5,98755,93739.5,90730.5,87166.5,85268,85658.5,86128,86753,78917,64292.5,65347.5,71916,70126,73667.5,79279,77887.5,61948,45637.5,40371.5,36882,33605,31022.5,28642.5,25711.5,22773,19178,15695.5,12647,10061.5,7976,5981,4400,3090,2024,1243,1267,4e-05,0.000619,0.001983,0.004031,0.006604,0.0097435,0.0133465,0.01744,0.0218625,0.0265855,0.031638,0.036933,0.0420595,0.046733,0.0501135,0.0519055,0.0516515,0.049485,0.0464465,0.042708,0.0379875,0.0324335,0.026983,0.0218275,0.016873,0.0122015,0.0082655,0.005179,0.002997,0.001659,0.000844,0.000428,0.0001875,2.45e-05,1.65e-05
"Azerbaijan","Europe","NoTransmission","Poor",FALSE,FALSE,1,0.502051445269943,66.868,10147669.5,65.6,142211,142454.5,156375.5,173516,182504.5,186695.5,187088.5,184750.5,179879,174912,170490,164759,157923,150597,142846.5,135281.5,129444,127061,128590.5,132234,135778,140293,148090.5,157938,166984.5,173976,179038,183369.5,187358.5,190102.5,191068.5,190459,188222.5,184084.5,178492,172088.5,165974.5,160785,155720,149891,143257,136854.5,131548,127382,124257,122114.5,121798,123676.5,126407.5,128451.5,128975,128560.5,128204,128158.5,128212,127730,126785.5,125446,122742,117804,110346,101116,91304.5,81619.5,72598,64695.5,58310.5,53292,48794,43839.5,38076,32023,26078.5,20700,16788.5,15130,15683.5,17372,18907,19433,18726.5,17069.5,14798,12262.5,9845,7762,6101,4819,3737,2787.5,1995,1366.5,920.5,625.5,421,274.5,166,93.5,52.5,48,0.0037995,0.008386,0.017651,0.0312445,0.045407,0.0588845,0.0667325,0.0690585,0.068202,0.064884,0.059935,0.0537935,0.0475595,0.041527,0.035886,0.030701,0.026068,0.0219925,0.018403,0.0152855,0.0126505,0.010452,0.008481,0.006697,0.005135,0.0038045,0.0027125,0.0018535,0.001194,0.000724,0.00043,0.0002955,0.00026,0.000284,0.0002565
"Bahamas,_The","Americas","Epidemic","Good",TRUE,TRUE,0.664443621094232,0.705712697957774,72.677,401856,66.4,4608,4625,4722,4918,5150,5004.5,5062,5363,5447,6098.5,6612.5,6594,6585.5,6565.5,6574,6611,6652,6711.5,6772,6792,6806.5,6843.5,6880,6924,6987,7060,7031,6828.5,6634.5,6441.5,6142.5,5894.5,5871.5,5947,5908,5846.5,5809,5831.5,5969.5,5970.5,5829.5,5835.5,5831,5793,5889,5981.5,6047.5,6074.5,6001,5698,5320,5289.5,5319.5,5224,5182.5,5095.5,4956.5,4740,4531.5,4312,3941.5,3601.5,3386,3229,3027.5,2748.5,2430.5,2177,2081.5,1987.5,1845.5,1751.5,1636,1443.5,1355,1316,1242.5,1139.5,1002,904.5,811,717,647.5,597,517,415,350,294.5,248,220,177.5,133,106.5,86.5,66,49,38,27,19.5,43,0.003687,0.007263,0.012085,0.017825,0.023161,0.0277475,0.031514,0.0344105,0.0364545,0.03765,0.0379975,0.037611,0.036985,0.036194,0.0350645,0.0335865,0.031887,0.0300745,0.028504,0.0270945,0.0251305,0.0225445,0.0197495,0.01681,0.0135945,0.010212,0.007273,0.0049145,0.0031345,0.0019095,0.0011375,0.0007425,0.000492,0.000321,0.0001705
