"Country","Region","Year","Age_min","Age_max","N_seropos","N_tot"
"Kenya",1,2009,0,1,NA,NA
"Kenya",1,2009,1,2,1,1
"Kenya",1,2009,2,3,NA,NA
"Kenya",1,2009,3,4,NA,NA
"Kenya",1,2009,4,5,NA,NA
"Kenya",1,2009,5,6,0,13
"Kenya",1,2009,6,7,0,12
"Kenya",1,2009,7,8,1,17
"Kenya",1,2009,8,9,0,23
"Kenya",1,2009,9,10,0,25
"Kenya",1,2009,10,11,1,32
"Kenya",1,2009,11,12,1,18
"Kenya",1,2009,12,13,4,31
"Kenya",1,2009,13,14,3,28
"Kenya",1,2009,14,15,6,23
"Kenya",1,2009,15,16,2,19
"Kenya",1,2009,16,17,8,21
"Kenya",1,2009,17,18,1,16
"Kenya",1,2009,18,19,0,8
"Kenya",1,2009,19,20,4,11
"Kenya",1,2009,20,21,0,7
"Kenya",1,2009,21,22,1,6
"Kenya",1,2009,22,23,1,4
"Kenya",1,2009,23,24,7,13
"Kenya",1,2009,24,25,0,7
"Kenya",1,2009,25,26,3,10
"Kenya",1,2009,26,27,0,1
"Kenya",1,2009,27,28,4,10
"Kenya",1,2009,28,29,1,2
"Kenya",1,2009,29,30,1,6
"Kenya",1,2009,30,31,1,11
"Kenya",1,2009,31,32,0,15
"Kenya",1,2009,32,33,1,6
"Kenya",1,2009,33,34,1,8
"Kenya",1,2009,34,35,0,8
"Kenya",1,2009,35,36,2,8
"Kenya",1,2009,36,37,1,10
"Kenya",1,2009,37,38,2,9
"Kenya",1,2009,38,39,0,4
"Kenya",1,2009,39,40,1,10
"Kenya",1,2009,40,41,2,5
"Kenya",1,2009,41,42,0,3
"Kenya",1,2009,42,43,1,5
"Kenya",1,2009,43,44,1,3
"Kenya",1,2009,44,45,1,1
"Kenya",1,2009,45,46,1,3
"Kenya",1,2009,46,47,0,5
"Kenya",1,2009,47,48,NA,NA
"Kenya",1,2009,48,49,0,3
"Kenya",1,2009,49,50,2,10
"Kenya",1,2009,50,51,0,1
"Kenya",1,2009,51,52,0,3
"Kenya",1,2009,52,53,0,3
"Kenya",1,2009,53,54,0,1
"Kenya",1,2009,54,55,0,2
"Kenya",1,2009,55,56,0,2
"Kenya",1,2009,56,57,0,1
"Kenya",1,2009,57,58,1,3
"Kenya",1,2009,58,59,0,2
"Kenya",1,2009,59,60,1,7
"Kenya",1,2009,60,61,0,6
"Kenya",1,2009,61,62,0,5
"Kenya",1,2009,62,63,1,2
"Kenya",1,2009,63,64,NA,NA
"Kenya",1,2009,64,65,1,4
"Kenya",1,2009,65,66,NA,NA
"Kenya",1,2009,66,67,1,4
"Kenya",1,2009,67,68,0,2
"Kenya",1,2009,68,69,NA,NA
"Kenya",1,2009,69,70,0,1
"Kenya",1,2009,70,71,0,1
"Kenya",1,2009,71,72,0,2
"Kenya",1,2009,72,73,NA,NA
"Kenya",1,2009,73,74,1,2
"Kenya",1,2009,74,75,NA,NA
"Kenya",1,2009,75,76,0,3
"Kenya",1,2009,76,77,0,1
"Kenya",1,2009,77,78,0,1
"Kenya",1,2009,78,79,NA,NA
"Kenya",1,2009,79,80,1,5
"Kenya",1,2009,80,81,0,3
"Kenya",1,2009,81,82,NA,NA
"Kenya",1,2009,82,83,NA,NA
"Kenya",1,2009,83,84,NA,NA
"Kenya",1,2009,84,85,0,1
"Kenya",1,2009,85,86,NA,NA
"Kenya",1,2009,86,87,NA,NA
"Kenya",1,2009,87,88,0,1
"Kenya",1,2009,88,89,NA,NA
"Kenya",1,2009,89,90,NA,NA
"Kenya",1,2009,90,91,NA,NA
"Kenya",1,2009,91,92,NA,NA
"Kenya",1,2009,92,93,NA,NA
"Kenya",1,2009,93,94,NA,NA
"Kenya",1,2009,94,95,NA,NA
"Kenya",1,2009,95,96,NA,NA
"Kenya",1,2009,96,97,NA,NA
"Kenya",1,2009,97,98,NA,NA
"Kenya",1,2009,98,99,NA,NA
"Kenya",1,2009,99,100,NA,NA
"Kenya",2,2009,0,1,NA,NA
"Kenya",2,2009,1,2,NA,NA
"Kenya",2,2009,2,3,2,3
"Kenya",2,2009,3,4,0,1
"Kenya",2,2009,4,5,0,1
"Kenya",2,2009,5,6,4,21
