"Country","Region","Year","Age_min","Age_max","N_seropos","N_tot"
"Malaysia","Bagan Panchor",2007,12,13,0,1
"Malaysia","Bagan Panchor",2007,13,14,0,1
"Malaysia","Bagan Panchor",2007,15,16,0,1
"Malaysia","Bagan Panchor",2007,16,17,1,1
"Malaysia","Bagan Panchor",2007,18,19,1,1
"Malaysia","Bagan Panchor",2007,19,20,0,1
"Malaysia","Bagan Panchor",2007,20,21,1,1
"Malaysia","Bagan Panchor",2007,22,23,0,1
"Malaysia","Bagan Panchor",2007,25,26,0,1
"Malaysia","Bagan Panchor",2007,27,28,1,1
"Malaysia","Bagan Panchor",2007,29,30,1,1
"Malaysia","Bagan Panchor",2007,30,31,2,3
"Malaysia","Bagan Panchor",2007,32,33,2,2
"Malaysia","Bagan Panchor",2007,33,34,0,1
"Malaysia","Bagan Panchor",2007,34,35,1,2
"Malaysia","Bagan Panchor",2007,35,36,1,2
"Malaysia","Bagan Panchor",2007,36,37,0,1
"Malaysia","Bagan Panchor",2007,38,39,0,2
"Malaysia","Bagan Panchor",2007,40,41,1,2
"Malaysia","Bagan Panchor",2007,41,42,1,2
"Malaysia","Bagan Panchor",2007,42,43,1,2
"Malaysia","Bagan Panchor",2007,45,46,1,2
"Malaysia","Bagan Panchor",2007,46,47,1,4
"Malaysia","Bagan Panchor",2007,47,48,1,1
"Malaysia","Bagan Panchor",2007,48,49,4,6
"Malaysia","Bagan Panchor",2007,49,50,1,1
"Malaysia","Bagan Panchor",2007,50,51,0,1
"Malaysia","Bagan Panchor",2007,51,52,2,3
"Malaysia","Bagan Panchor",2007,52,53,2,2
"Malaysia","Bagan Panchor",2007,53,54,4,5
"Malaysia","Bagan Panchor",2007,54,55,1,1
"Malaysia","Bagan Panchor",2007,55,56,1,1
"Malaysia","Bagan Panchor",2007,57,58,1,3
"Malaysia","Bagan Panchor",2007,58,59,1,1
"Malaysia","Bagan Panchor",2007,59,60,2,2
"Malaysia","Bagan Panchor",2007,60,61,1,2
"Malaysia","Bagan Panchor",2007,61,62,1,2
"Malaysia","Bagan Panchor",2007,62,63,0,1
"Malaysia","Bagan Panchor",2007,67,68,0,1
"Malaysia","Bagan Panchor",2007,68,69,1,1
"Malaysia","Bagan Panchor",2007,70,71,0,1
"Malaysia","Bagan Panchor",2007,77,78,1,1
