"Country","Region","Year","Age_min","Age_max","N_seropos","N_tot"
"Vietnam","Vietnam_merge",2015,1,2,1,13
"Vietnam","Vietnam_merge",2015,2,3,0,13
"Vietnam","Vietnam_merge",2015,3,4,0,7
"Vietnam","Vietnam_merge",2015,4,5,0,6
"Vietnam","Vietnam_merge",2015,5,6,0,10
"Vietnam","Vietnam_merge",2015,6,7,0,4
"Vietnam","Vietnam_merge",2015,7,8,0,4
"Vietnam","Vietnam_merge",2015,8,9,0,5
"Vietnam","Vietnam_merge",2015,9,10,0,2
"Vietnam","Vietnam_merge",2015,10,11,2,8
"Vietnam","Vietnam_merge",2015,11,12,0,4
"Vietnam","Vietnam_merge",2015,12,13,0,6
"Vietnam","Vietnam_merge",2015,13,14,1,6
"Vietnam","Vietnam_merge",2015,14,15,0,4
"Vietnam","Vietnam_merge",2015,15,16,0,6
"Vietnam","Vietnam_merge",2015,16,17,0,6
"Vietnam","Vietnam_merge",2015,17,18,0,9
"Vietnam","Vietnam_merge",2015,18,19,0,12
"Vietnam","Vietnam_merge",2015,19,20,0,9
"Vietnam","Vietnam_merge",2015,20,21,0,10
"Vietnam","Vietnam_merge",2015,21,22,0,6
"Vietnam","Vietnam_merge",2015,22,23,0,5
"Vietnam","Vietnam_merge",2015,23,24,0,9
"Vietnam","Vietnam_merge",2015,24,25,0,7
"Vietnam","Vietnam_merge",2015,25,26,0,8
"Vietnam","Vietnam_merge",2015,26,27,0,9
"Vietnam","Vietnam_merge",2015,27,28,0,9
"Vietnam","Vietnam_merge",2015,28,29,0,6
"Vietnam","Vietnam_merge",2015,29,30,0,6
"Vietnam","Vietnam_merge",2015,30,31,0,9
"Vietnam","Vietnam_merge",2015,31,32,0,3
"Vietnam","Vietnam_merge",2015,32,33,0,6
"Vietnam","Vietnam_merge",2015,33,34,1,9
"Vietnam","Vietnam_merge",2015,34,35,0,4
"Vietnam","Vietnam_merge",2015,35,36,2,10
"Vietnam","Vietnam_merge",2015,36,37,0,10
"Vietnam","Vietnam_merge",2015,37,38,0,8
"Vietnam","Vietnam_merge",2015,38,39,1,12
"Vietnam","Vietnam_merge",2015,39,40,0,6
"Vietnam","Vietnam_merge",2015,40,41,0,7
"Vietnam","Vietnam_merge",2015,41,42,0,9
"Vietnam","Vietnam_merge",2015,42,43,1,8
"Vietnam","Vietnam_merge",2015,43,44,1,8
"Vietnam","Vietnam_merge",2015,44,45,1,8
"Vietnam","Vietnam_merge",2015,45,46,3,12
"Vietnam","Vietnam_merge",2015,46,47,1,6
"Vietnam","Vietnam_merge",2015,47,48,1,7
"Vietnam","Vietnam_merge",2015,48,49,2,6
"Vietnam","Vietnam_merge",2015,49,50,3,6
"Vietnam","Vietnam_merge",2015,50,51,2,6
"Vietnam","Vietnam_merge",2015,51,52,0,7
"Vietnam","Vietnam_merge",2015,52,53,2,8
"Vietnam","Vietnam_merge",2015,53,54,3,8
"Vietnam","Vietnam_merge",2015,54,55,3,8
"Vietnam","Vietnam_merge",2015,55,56,1,4
"Vietnam","Vietnam_merge",2015,56,57,4,8
"Vietnam","Vietnam_merge",2015,57,58,1,5
"Vietnam","Vietnam_merge",2015,58,59,1,8
"Vietnam","Vietnam_merge",2015,59,60,0,3
"Vietnam","Vietnam_merge",2015,60,61,1,3
"Vietnam","Vietnam_merge",2015,61,62,1,12
"Vietnam","Vietnam_merge",2015,62,63,2,8
"Vietnam","Vietnam_merge",2015,63,64,1,9
"Vietnam","Vietnam_merge",2015,64,65,1,4
"Vietnam","Vietnam_merge",2015,66,67,4,5
"Vietnam","Vietnam_merge",2015,67,68,1,4
"Vietnam","Vietnam_merge",2015,68,69,1,7
"Vietnam","Vietnam_merge",2015,70,71,6,12
"Vietnam","Vietnam_merge",2015,71,72,2,3
"Vietnam","Vietnam_merge",2015,72,73,5,8
"Vietnam","Vietnam_merge",2015,73,74,1,2
"Vietnam","Vietnam_merge",2015,74,75,1,1
"Vietnam","Vietnam_merge",2015,75,76,0,5
"Vietnam","Vietnam_merge",2015,77,78,0,2
"Vietnam","Vietnam_merge",2015,78,79,2,4
"Vietnam","Vietnam_merge",2015,79,80,3,5
"Vietnam","Vietnam_merge",2015,80,81,4,7
"Vietnam","Vietnam_merge",2015,81,82,0,2
"Vietnam","Vietnam_merge",2015,82,83,0,1
"Vietnam","Vietnam_merge",2015,83,84,1,2
"Vietnam","Vietnam_merge",2015,84,85,1,3
"Vietnam","Vietnam_merge",2015,85,86,1,1
"Vietnam","Vietnam_merge",2015,87,88,0,1
"Vietnam","Vietnam_merge",2015,88,89,0,2
"Vietnam","Vietnam_merge",2015,89,90,0,2
"Vietnam","Vietnam_merge",2015,90,91,0,2
"Vietnam","Vietnam_merge",2015,91,92,1,1
